,job-titles,companies,locations
0,Game Designer,Unacademy,"Bengaluru,"
1,Associate Designer,Walmart Global Tech India,"Karnataka,"
2,Game Designer - 100% Remote working role,Cympl Studios,India
3,Game Designer 1,Glu Mobile,"Bengaluru,"
4,Game Designer,Buffbaer Pvt Ltd,"Karnataka,"
5,Game Designer(Slots),Zynga,India
6,Game Designer,Reliance Games,India
7,Kids Game Designer,Photon Tadpole Studios,"Hyderabad,"
8,Game Designer II,Glu Mobile,"Telangana,"
9,Game Designer (PC or Console),Tentworks Interactive,India
10,Game Designer,PerspectAI,Bangalore
11,Game Designer,Flick Games Official,"Urban,"
12,Game designer,Frigate Games,"Karnataka,"
13,Visual Designer,IBM,India
14,Game Designer,GameAnax,"Bengaluru,"
15,Game Designer,NokOut Interactive,"Karnataka,"
16,Game Designer,PlayerzPot Media Pvt Ltd,India
17,Game Designer,Zynga,"Pune,"
18,Toy & Game Designer | Arts & Animation,WhiteHat Jr,"Maharashtra,"
19,Game Designer,GodSpeed Games,India
20,Game Designer II,EA Mobile,India
21,Game Designer,GSN Games,"Hyderabad,"
22,Game Designer II,EA SPORTS,"Telangana,"
23,Graphics Designer,Xiaomi India,India
